food,portion,units,gross_weight,net_weight,energy,carbs,clasification
Caldo de pollo concentrado,1/5,taza,50.0,50.0,12.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Caldo de pollo enlatado,1/5,taza,50.0,50.0,12.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Caldo de res,1/2,taza,120.0,120.0,9.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Caldo de res enlatado,1/3,taza,82.0,82.0,10.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Canela,1,cucharadita,2.0,2.0,5.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Canela en polvo,1,cucharadita,2.0,2.0,5.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Canela en raja,1/5,raja,2.0,2.0,5.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Canela molida,1,cucharadita,2.0,2.0,5.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Cardamomo,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Cardamomo molido,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Cáscara de limón,5,cucharadita,10.0,10.0,5.0,1.7,ALIMENTOS LIBRES EN ENERGIA
Cáscara de naranja,2,cucharadita,4.0,4.0,4.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Cebolla deshidratada,1,cucharadita,1.0,1.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Cebolla en polvo,1/2,cucharadita,1.0,1.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Cebollín,15,cucharadita,15.0,15.0,5.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Cebollín deshidratada,30,cucharadita,12.0,12.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Cebollín fresco,15,cucharadita,15.0,15.0,5.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Cebollín liofilizado,10,cucharada,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Chicle sin azúcar,1,pieza,3.0,3.0,10.0,2.0,ALIMENTOS LIBRES EN ENERGIA
Chicle casacabel,3,g,3.0,3.0,8.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Chicle en polvo,3,pieza,2.0,1.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Chicle piquín,3,pieza,2.0,1.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Chicle piquín molido,1/2,cucharadita,2.0,2.0,5.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Chocolate para repostería sin azúcar,2,g,2.0,2.0,10.0,0.6,ALIMENTOS LIBRES EN ENERGIA
Clavo,1,cucharadita,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Clavo de olor,1,cucharadita,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Clavo en polvo,1,cucharadita,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Clavo entero,2,g,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Clavo molido,1,cucharadita,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Clight,3,sobre,4.0,4.0,8.0,2.0,ALIMENTOS LIBRES EN ENERGIA
Cocca Cola de dieta,1,lata,240.0,240.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Cocca Cola Zero,1,lata,240.0,240.0,1.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Coca light,1,lata,240.0,240.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Cocacola de dieta,1,lata,240.0,240.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Cocoa en polvo con aspartame,1/4,cucharada,3.0,3.0,9.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Cocoa sin azúcar,1/5,cucharada,2.0,2.0,7.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Cocoa sin azúcar Hershey,1/5,cucharada,2.0,2.0,7.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Comino,1,cucharadita,2.0,2.0,7.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Comino entetro,1,cucharadita,2.0,2.0,7.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Comino molido,1/2,cucharadita,1.0,1.0,6.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Concentrado de pollo,3,g,3.0,3.0,6.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Consomé,1/4,taza,60.0,60.0,10.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Consomé de camarón en polvo,1/3,cucharada,4.0,4.0,8.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Consomé de pescado,20,g,20.0,20.0,6.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Consomé de pollo,1/4,taza,60.0,60.0,10.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Consomé de pollo bajo en grasa,5,cucharada,60.0,60.0,5.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Consomé de pollo desgarsado en polvo,1,cucharada,12.0,12.0,2.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Consomé de pollo en cubo,1/3,pieza,2.0,2.0,4.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Consomé de pollo en polvo,1/3,cucharada,4.0,4.0,8.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Consiomé de res,1/2,taza,120.0,120.0,9.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Consomé de res condesado,1/4,taza,60.0,60.0,8.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Consomé de res en cubo,1/3,pieza,2.0,2.0,5.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Consiomé de res en polvo,1,cucharada,12.0,12.0,2.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Consomé de res enlatado,1/4,taza,60.0,60.0,8.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Consomé en polvo,1/3,cucharada,4.0,4.0,8.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Consomé sabor tomate,2,g,2.0,2.0,6.0,1.5,ALIMENTOS LIBRES EN ENERGIA
Cremor tártaro,1,cucharadita,3.0,3.0,8.0,1.8,ALIMENTOS LIBRES EN ENERGIA
Cubo consomé,1/4,pieza,6.0,6.0,12.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Curry,1,cucharadita,2.0,2.0,7.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Curry en polvo,1,cucharadita,2.0,2.0,7.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Dacaf,1,cucharadita,2.0,2.0,4.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Diet coke,1,taza,240.0,240.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Diet sprite,1,taza,240.0,240.0,3.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Eneldo,5,cucharadita,8.0,8.0,3.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Eneldo deshidratado,1,cucharadita,1.0,1.0,3.0,0.6,ALIMENTOS LIBRES EN ENERGIA
Enelo en semilla,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Especias para sazonar aves,1,cucharadita,2.0,2.0,6.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Estragón,1,cucharadita,2.0,2.0,6.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Estragón molido,1,cucharadita,2.0,2.0,6.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Estragón seco,1,cucharadita,2.0,2.0,6.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Extracto de vainilla ,1,cucharadita,5.0,5.0,8.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Flor de jamaica,1,taza,37.0,37.0,1.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Gelatina de dieta,1/4,taza,60.0,60.0,4.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Gelatina sin azúcar preparada,1,taza,121.0,121.0,10.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Gengibre,3,cucharadita,6.0,6.0,4.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Gengibre en polvo,1/2,cucharada,3.0,3.0,9.0,1.9,ALIMENTOS LIBRES EN ENERGIA
Gengibre fresco,1,cucharada,10.0,10.0,7.0,1.5,ALIMENTOS LIBRES EN ENERGIA
Grenetina sin sabor,1/4,sobre,3.0,3.0,9.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Hierbabuena,10,g,10.0,10.0,4.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Hierbas de olor,1,cucharadita,2.0,2.0,5.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Hierbas finas,1,cucharadita,2.0,2.0,5.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Hierbas molidas,1,cucharadita,2.0,2.0,5.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Hinojo,10,g,10.0,10.0,3.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Hoja de aguacate,1,pieza,3.0,3.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Hojas de laurel,1,pieza,1.0,1.0,3.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Jamaica,1,taza,37.0,1.0,1.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Jengibre,3,cucharadita,6.0,6.0,4.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Jengibre fresco,1,cucharada,6.0,6.0,4.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Jengibre molido,1,cucharadita,2.0,2.0,7.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Jengibre rallado,1,cucharadita,2.0,2.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Koll-Aid en polvo sin azúcar,1,sobre,1.0,1.0,5.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Laurel,2,hoja,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Laurel fresco,2,hoja,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Laurel troceado,2,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Levadura comprimida,1/2,sobre,9.0,9.0,9.0,1.6,ALIMENTOS LIBRES EN ENERGIA
Levadura en polvo,1/4,sobre,2.0,2.0,5.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Levadura fresca,2,g,2.0,2.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Levadura seca,1/2,sobre,4.0,4.0,11.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Limón,1/2,pieza,34.0,34.0,10.0,3.6,ALIMENTOS LIBRES EN ENERGIA
Limón agrio,1/2,pieza,14.0,9.0,2.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Limón sin semilla ,1/2,pieza,18.0,11.0,2.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Manzanilla fresca,10,G,10.0,10.0,4.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Manzanilla seca,1,bolsa,2.0,2.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Mejorana,1,cucharadita,1.0,1.0,3.0,0.6,ALIMENTOS LIBRES EN ENERGIA
Menta,1,cucharadita,1.0,1.0,5.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Menta fresca,1,cucharadita,1.0,1.0,1.0,0.2,ALIMENTOS LIBRES EN ENERGIA
Menta molida,1,cucharadita,2.0,2.0,6.0,1.2,ALIMENTOS LIBRES EN ENERGIA
Monster Lo-Carb Energía,1/3,lata,158.0,158.0,7.0,2.0,ALIMENTOS LIBRES EN ENERGIA
Mostaza,1,cucharadita,5.0,5.0,5.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Mostaza Dijón,1,cucharadita,5.0,5.0,5.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Mostaza en polvo,1,cucharadita,3.0,3.0,9.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Nuez moscada,1,cucharadita,2.0,2.0,10.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Nuez moscada molida,1,cucharadita,2.0,2.0,10.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Nutra sweet,1,sobre,1.0,1.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Orange crush diet,1/2,lata,178.0,178.0,10.0,2.5,ALIMENTOS LIBRES EN ENERGIA
Orégano ,1,cucharadita,2.0,2.0,6.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Orégano molido,1,cucharadita,2.0,2.0,5.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Orégano troceado,1,cucharadita,2.0,2.0,6.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Paprika,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Pepsi de dieta,1,lata,355.0,355.0,4.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Pepsi Max,1,lata,355.0,355.0,4.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Perejil deshidratado,1,cucharada,3.0,3.0,9.0,1.5,ALIMENTOS LIBRES EN ENERGIA
Pimentón,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Pimienta,1,cucharadita,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta blanca,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Pimienta blanca en polvo,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Pimienta blanaca entera,1,cucharadita,4.0,4.0,9.0,2.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta blanaca molida,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Pimienta de cayena,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Pimienta de tabasco,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Pimienta gorda,1,cucharadita,4.0,4.0,9.0,2.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta molida,1,cucharadita,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta negra,1,cucharadita,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta negra en polvo,1,cucharadita,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta negra entera,1,cucharadita,4.0,4.0,9.0,2.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta nagra molida,1,cucharadita,2.0,2.0,5.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Pimienta roja,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Pimienta verde,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Raíz de jengibre,1,cucharadita,2.0,2.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Raíz fuerte,5,g,5.0,5.0,3.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Raja de canela,1/3,pieza,2.0,2.0,6.0,1.8,ALIMENTOS LIBRES EN ENERGIA
Ralladura de limón,5,cucharadita,10.0,10.0,5.0,1.7,ALIMENTOS LIBRES EN ENERGIA
Ralladura de naranja,5,cucharadita,10.0,10.0,10.0,2.5,ALIMENTOS LIBRES EN ENERGIA
Red Bull sugar free*,1/2,lata,125.0,125.0,6.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Refresco de dieta,1,lata,355.0,355.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Refresco en polvo sin azúcar,1,sobre,1.0,1.0,5.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Romero,1,cucharadita,3.0,3.0,11.0,2.0,ALIMENTOS LIBRES EN ENERGIA
Romero deshidratado,1,cucharadita,2.0,2.0,7.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Romeo picado,1/2,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Sal,1,cucharadita,6.0,6.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Sal de ajo,1,cucharadita,5.0,5.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Sal de apio,1,cucharadita,5.0,5.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Sal de potasio,1,cucharadita,5.0,5.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Salsa de barbecue,1/2,cucharada,8.0,8.0,6.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Salsa de soya,1,cucharadita,5.0,5.0,3.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Salsa inglesa,1/2,cucharada,8.0,8.0,8.0,3.8,ALIMENTOS LIBRES EN ENERGIA
Salsa Tabasco,1,cucharadita,6.0,6.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Salsa teriyaki,1,cucharadita,5.0,5.0,5.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Salvia,1,cucharadita,1.0,1.0,3.0,0.6,ALIMENTOS LIBRES EN ENERGIA
Semilla de anís,1,cucharadita,2.0,2.0,7.0,1.0,ALIMENTOS LIBRES EN ENERGIA
Semilla de apio,1,cucharadita,2.0,2.0,8.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Semilla de cardamomo,1,cucharadita,2.0,2.0,6.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Semilla de cilantro,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Semilla de eneldo,1,cucharadita,2.0,2.0,6.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Semilla de mosraza,1/2,cucharadita,2.0,2.0,7.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Sidral de dieta,1,lata,355.0,355.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Sidral light,1,lata,355.0,355.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Squirt de dieta,1,lata,355.0,355.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Squirt light,1,lata,355.0,355.0,1.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Tomillo,1,cucharadita,2.0,2.0,7.0,1.3,ALIMENTOS LIBRES EN ENERGIA
Vainilla,1,cucharadita,5.0,5.0,8.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Vainilla en trozo,1/4,raja,3.0,3.0,6.0,2.0,ALIMENTOS LIBRES EN ENERGIA
Vinagre,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre balsámico,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre blanco,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de caña,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de fruta,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de jeréz,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Viangre de manzana,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de sidra,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de vino,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Vinagre de yema,1,cucharadita,5.0,5.0,1.0,0.3,ALIMENTOS LIBRES EN ENERGIA
Aderezo blue cheese bajo en calorias,4,cucharada,60.0,60.0,86.0,10.4,AZUCARES CON GRASA
Aderezo de miel,4,cucharada,64.0,64.0,70.0,10.7,AZUCARES CON GRASA
Aderezo de miel y mostaza bajo calorias,3,cucharada,45.0,45.0,64.0,14.1,AZUCARES CON GRASA
Aderezo fránces bajo en calorías,4,cucharada,60.0,60.0,79.0,13.1,AZUCARES CON GRASA
Aderezo mil islas bajo en calorías,4,cucharada,60.0,60.0,96.0,9.6,AZUCARES CON GRASA
Aderezo ranch bajo en calorías,3,cucharada,45.0,45.0,64.0,14.1,AZUCARES CON GRASA
Aderezo ruso bajo en calorías,3,cucharada,45.0,45.0,65.0,12.4,AZUCARES CON GRASA
Aderezo tipo cesar bajo en   calorías,3,cucharada,45.0,45.0,87.0,2.9,AZUCARES CON GRASA
Almendra con chocolate,15,g,15.0,15.0,77.0,6.6,AZUCARES CON GRASA
Almond joy,1/3,pieza,16.0,16.0,80.0,9.4,AZUCARES CON GRASA
Almond joy miniatura,1,pieza,20.0,20.0,98.0,11.7,AZUCARES CON GRASA
Cacahuate confitado (chocolate),4,pieza,16.0,16.0,83.0,8.0,AZUCARES CON GRASA
Carlos V,1/2,pieza,11.0,11.0,56.0,7.4,AZUCARES CON GRASA
Chispas de chocolate hershey,5,cucharadita,17.0,17.0,89.0,10.7,AZUCARES CON GRASA
Chispas de chocolate     ,5,cucharadita,18.0,18.0,94.0,10.4,AZUCARES CON GRASA
Chocolate amargo,1/3,pieza,14.0,14.0,70.0,8.0,AZUCARES CON GRASA
Chocolate blanco,15,g,15.0,15.0,81.0,8.9,AZUCARES CON GRASA
Chocolate blanco son azúcar,19,g,19.0,19.0,90.0,9.9,AZUCARES CON GRASA
Chocolate con arroz tostado,1/3,barra,13.0,13.0,70.0,7.9,AZUCARES CON GRASA
Chocolate con almendras,1/3,barra,15.0,15.0,77.0,7.8,AZUCARES CON GRASA
Chocolate con azúcar,15,g,15.0,15.0,70.0,11.3,AZUCARES CON GRASA
Chocolate con galleta y caramelo,1/2,barra,15.0,15.0,75.0,9.7,AZUCARES CON GRASA
Chocolate con leche,15,g,15.0,15.0,64.0,11.1,AZUCARES CON GRASA
Chocolate con leche con menos del 10% proteinas,14,g,14.0,14.0,60.0,10.3,AZUCARES CON GRASA
Chocolate con leche y almendras sin azúcar,15,g,15.0,15.0,86.0,6.0,AZUCARES CON GRASA
Chocolate con nugar,1/3,pieza,19.0,19.0,87.0,13.6,AZUCARES CON GRASA
Chocolate con nugar y cacahuate,1/3,pieza,19.0,19.0,90.0,11.5,AZUCARES CON GRASA
Chocolate de coco y almendras,1/3,pieza,16.0,16.0,78.0,9.7,AZUCARES CON GRASA
Chocolate de leche,2/3,pieza,17.0,17.0,88.0,9.8,AZUCARES CON GRASA
Chocolate de menta,2,pieza,17.0,17.0,68.0,12.8,AZUCARES CON GRASA
Chocolate en polvo con más del 10% proteínas,15,g,15.0,15.0,60.0,11.0,AZUCARES CON GRASA
Chocolate en polvo con menos del 10% proteinas,12,g,12.0,12.0,48.0,10.1,AZUCARES CON GRASA
Chocolate en polvo DICONSA,25,g,25.0,25.0,94.0,6.0,AZUCARES CON GRASA
Chocolate en polvo sin azúcares,3,cucharadita,15.0,15.0,60.0,9.0,AZUCARES CON GRASA
Chocolate fundido,3/4,cucharada,14.0,14.0,59.0,10.9,AZUCARES CON GRASA
Chocolate rallado,5,cucharadita,17.0,17.0,87.0,9.9,AZUCARES CON GRASA
Chocolate semi amargo,17,g,17.0,17.0,81.0,10.7,AZUCARES CON GRASA
Chocolate sin azúcar,15,g,15.0,15.0,85.0,6.1,AZUCARES CON GRASA
Cocada,3/4,pieza,21.0,21.0,92.0,12.8,AZUCARES CON GRASA
Crema en polvo para café,9,cucharadita,18.0,18.0,98.0,9.9,AZUCARES CON GRASA
Flan casero,1/5,taza,61.0,61.0,89.0,13.9,AZUCARES CON GRASA
Flan de caja preparado con leche descremada,1/5,taza,61.0,61.0,63.0,11.5,AZUCARES CON GRASA
Flan de caja preparado con leche entera,1/5,taza,61.0,61.0,69.0,11.4,AZUCARES CON GRASA
herchey´s creme´n ´arandano,1/4,pieza,11.0,11.0,57.0,6.2,AZUCARES CON GRASA
Jarabe de coco,5,cucharada,85.0,85.0,83.0,6.5,AZUCARES CON GRASA
Kinder delice,1/3,paquete,21.0,21.0,95.0,9.0,AZUCARES CON GRASA
Kranky,1/3,paquete,15.0,15.0,67.0,11.0,AZUCARES CON GRASA
Lunetas,1/3,paquete (50),16.0,16.0,79.0,11.4,AZUCARES CON GRASA
Malvavisco con chocolate,1/2,pieza,14.0,14.0,59.0,9.5,AZUCARES CON GRASA
Mayonesa baja en grasa,2,cucharada,28.0,28.0,93.0,9.5,AZUCARES CON GRASA
Mayonesa light,2,cucharada,28.0,28.0,93.0,9.5,AZUCARES CON GRASA
Mazapan,3/4,pieza,19.0,19.0,85.0,11.3,AZUCARES CON GRASA
Menta cubierta con chocolate,1 1/2,pieza,14.0,14.0,55.0,10.9,AZUCARES CON GRASA
Mole,3,cucharada,48.0,48.0,79.0,6.2,AZUCARES CON GRASA
Mole de pepita,1,cucharada,16.0,16.0,82.0,8.2,AZUCARES CON GRASA
Mole poblano,1,cucharada,16.0,16.0,91.0,6.7,AZUCARES CON GRASA
Mole poblano en pasta,1,cucharada,16.0,16.0,91.0,6.7,AZUCARES CON GRASA
Mole poblano preparado,3,cucharada,48.0,48.0,79.0,6.2,AZUCARES CON GRASA
Mousse de chocolate,1/4,taza,50.0,50.0,71.0,11.5,AZUCARES CON GRASA
Palanqueta de cacahuate,1/3,pieza,15.0,15.0,78.0,7.0,AZUCARES CON GRASA
Paleta helada de café con cubierta de chocolate y almendras,1/5,pieza,21.0,21.0,74.0,5.5,AZUCARES CON GRASA
Paleta helada de chocolate cubierta con chocolate,1/5,pieza,21.0,21.0,72.0,5.9,AZUCARES CON GRASA
Paleta helada de crema con café cubierta de chocolate y almendras,1/5,pieza,21.0,21.0,74.0,5.5,AZUCARES CON GRASA
Paleta helada de vainilla cubierta con chocolate,1/4,pieza,24.0,24.0,83.0,6.9,AZUCARES CON GRASA
Paleta helada de vainilla cubierta con chocolate y almendras,1/4,pieza,23.0,23.0,80.0,5.8,AZUCARES CON GRASA
Pipián,15,g,15.0,15.0,77.0,7.7,AZUCARES CON GRASA
Rompope sin alcohol,1/4,taza,64.0,64.0,86.0,8.6,AZUCARES CON GRASA
Salsa de cebollin,25,g,25.0,25.0,63.0,3.3,AZUCARES CON GRASA
Salsa de epazote,40,g,40.0,40.0,82.0,4.7,AZUCARES CON GRASA
Aderezos para ensalada bajos en calorías y grasa,1/3,taza,85.0,85.0,40.0,8.0,AZUCARES SIN GRASA
Agua quina,1/3,lata,117.0,117.0,42.0,11.1,AZUCARES SIN GRASA
Ate,13,g,13.0,13.0,41.0,9.8,AZUCARES SIN GRASA
Ate de guayaba,13,g,13.0,13.0,41.0,9.8,AZUCARES SIN GRASA
Ate de membrillo,13,g,13.0,13.0,41.0,9.8,AZUCARES SIN GRASA
Azúcar blanca,2,cucharadita,8.0,8.0,33.0,8.4,AZUCARES SIN GRASA
Azúcar de mesa,2,cucharadita,8.0,8.0,33.0,8.4,AZUCARES SIN GRASA
Azúcar glass,4,cucharadita,10.0,10.0,39.0,10.0,AZUCARES SIN GRASA
Azúcar granulada,2,cucharadita,8.0,8.0,33.0,8.4,AZUCARES SIN GRASA
Azúcar mascabado,2,cucharadita,10.0,10.0,36.0,9.1,AZUCARES SIN GRASA
Azúcar morena,3,cucharadita,9.0,9.0,34.0,8.8,AZUCARES SIN GRASA
Bebida láctea fermentada,21,pieza,80.0,80.0,50.0,11.7,AZUCARES SIN GRASA
Bebida para deportistas,1/4,bote sport,152.0,152.0,40.0,9.8,AZUCARES SIN GRASA
Bebida para deportistas en polvo,2,cucharadita,10.0,10.0,36.0,9.5,AZUCARES SIN GRASA
Boost *,1/3,lata,78.0,78.0,33.0,7.9,AZUCARES SIN GRASA
Bubbaloo xtreme,1/2,pieza,8.0,8.0,33.0,8.1,AZUCARES SIN GRASA
